,date_time,user_name,in_out,user_class
0,2023-07-21 11:53:46,깃이-노비스,IN,노비스
1,2023-07-21 11:53:51,엄지척 어피치,OUT,Not defined
2,2023-07-21 11:53:52,오복이언니-워드프레스수강생,IN,수강생
3,2023-07-21 11:54:38,마에-노비스,IN,노비스
4,2023-07-21 11:55:27,플레인-노비스,IN,노비스
5,2023-07-21 11:55:39,순선생 - seo수강생,IN,수강생
6,2023-07-21 11:55:50,카라뜨 - 노비스,IN,노비스
7,2023-07-21 11:57:50,고라니-노비스,IN,노비스
8,2023-07-21 11:58:08,세나-워프 수강생,IN,수강생
9,2023-07-21 11:58:38,주하담 - SEO 수강생,IN,수강생
10,2023-07-21 11:59:47,홍티-노비스,IN,노비스
11,2023-07-21 12:00:06,주하담 - SEO 수강생,OUT,수강생
12,2023-07-21 12:00:41,ACTGETIT-노비스,IN,노비스
13,2023-07-21 12:00:52,이엘 - 노비스,IN,노비스
14,2023-07-21 12:01:18,스카이워커_워프수강생,IN,수강생
15,2023-07-21 12:01:20,초롱튜브,IN,Not defined
16,2023-07-21 12:02:52,에코-노비스,IN,노비스
17,2023-07-21 12:03:13,Da7588-노비스,IN,노비스
18,2023-07-21 12:03:26,아이스조다-노비스,IN,노비스
19,2023-07-21 12:06:29,프로미스 - 노비스,IN,노비스
20,2023-07-21 12:06:58,장군-노비스,IN,노비스
21,2023-07-21 12:07:23,지로 - 워프 수강생,IN,수강생
22,2023-07-21 12:08:58,선풍기 바람 쐬는 어피치,IN,Not defined
23,2023-07-21 12:09:31,아푸 - 노비스,IN,노비스
24,2023-07-21 12:11:05,이공팔공골퍼 @2080_golfer,IN,Not defined
25,2023-07-21 12:11:54,kkp-노비스,IN,노비스
26,2023-07-21 12:12:22,우르스오너가될거얏-노비스,IN,노비스
27,2023-07-21 12:14:28,아라블로그-노비스,IN,노비스
28,2023-07-21 12:16:02,네자매맘(노비스),IN,노비스
29,2023-07-21 12:16:11,네자매맘(노비스),OUT,노비스
30,2023-07-21 12:16:30,네자매맘(노비스),IN,노비스
31,2023-07-21 12:16:59,님즈 -노비스,IN,노비스
32,2023-07-21 12:17:25,joee -노비스,IN,노비스
33,2023-07-21 12:17:40,에디루-노비스,IN,노비스
34,2023-07-21 12:19:08,벼리-노비스,IN,노비스
35,2023-07-21 12:19:20,알비오 - SEO 수강생,IN,수강생
36,2023-07-21 12:19:53,세렝,IN,Not defined
37,2023-07-21 12:20:42,재필각 - 워프 수강생,IN,수강생
38,2023-07-21 12:24:12,Ethan seo수강생,IN,수강생
39,2023-07-21 12:24:30,초롱초롱 무지 - seo수강생,IN,수강생
40,2023-07-21 12:25:37,보기맘-노비스,IN,노비스
41,2023-07-21 12:26:34,리얼플라이-노비스,IN,노비스
42,2023-07-21 12:27:00,별별 - 노비스,IN,노비스
43,2023-07-21 12:27:10,마드라스 - 노비스,IN,노비스
44,2023-07-21 12:29:22,⛤ 워프수강생,IN,수강생
45,2023-07-21 12:30:01,enigmaaa-워프수강생,IN,수강생
46,2023-07-21 12:31:10,치성 - 노비스,IN,노비스
47,2023-07-21 12:31:48,제니팍-노비스,IN,노비스
48,2023-07-21 12:33:00,한요한-노비스,IN,노비스
49,2023-07-21 12:35:07,5후난-노비스,IN,노비스
50,2023-07-21 12:35:59,혁2 - 노비스,IN,노비스
51,2023-07-21 12:36:31,윤쓰,IN,Not defined
52,2023-07-21 12:36:57,곰곰곰 - 워프 수강생,IN,수강생
53,2023-07-21 12:37:43,반도 - 워프수강생,IN,수강생
54,2023-07-21 12:37:47,miamigo - 노비스,IN,노비스
55,2023-07-21 12:37:51,애둘센스-노비스,IN,노비스
56,2023-07-21 12:37:59,개미 - seo수강생,IN,수강생
57,2023-07-21 12:40:01,Noah - 노비스,IN,노비스
58,2023-07-21 12:40:57,라이프프리덤 - 노비스,IN,노비스
59,2023-07-21 12:48:07,클리크72-노비스,IN,노비스
60,2023-07-21 12:48:38,전 갑니다-노비스,IN,노비스
61,2023-07-21 12:49:55,35m - 노비스,IN,노비스
62,2023-07-21 12:50:17,쿠로미-워프수강생,IN,수강생
63,2023-07-21 12:51:35,진하 -노비스,IN,노비스
64,2023-07-21 12:51:39,배재한 -노비스,IN,노비스
